,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags
631,999000,2596,4,63,Diesel,2055,4342,1790,SUV,5,14,6,7,Manual,389,0
632,1075000,2596,4,63,Diesel,2055,3992,1790,SUV,3,14,6,5,Manual,389,0
633,1299000,2149,4,63,Diesel,2075,3992,1820,SUV,3,93.25,5,5,Manual,389,0
634,1330000,2149,4,63,Diesel,2075,3992,1820,SUV,3,93.25,5,5,Manual,389,0
635,975000,2596,4,63,Diesel,2055,4342,1790,SUV,5,14,6,7,Manual,389,0
636,1225000,2596,4,63,Diesel,2055,3992,1790,SUV,5,14,6,5,Manual,389,0
637,984689,1462,4,45,Petrol,1700,4445,1775,MPV,5,93.25,5,6,Manual,209,2
638,1041189,1462,4,45,Petrol,1700,4445,1775,MPV,5,93.25,5,6,Manual,209,2
639,1094689,1462,4,45,Petrol,1700,4445,1775,MPV,5,93.25,5,6,Automatic,209,2
640,1151189,1462,4,45,Petrol,1700,4445,1775,MPV,5,93.25,5,6,Automatic,209,2
641,989219,1368,4,52,Petrol,1542,3983,1706,Crossover,5,17,5,5,Manual,389,2
642,992748,2179,3,60,Diesel,1812,4400,1835,SUV,5,18.49,5,9,Manual,384,2
643,1029650,2179,3,60,Diesel,1812,4400,1835,SUV,5,18.49,5,9,Manual,384,2
644,1142157,2179,3,60,Diesel,1812,4400,1835,SUV,5,18.49,5,9,Manual,384,2
645,999900,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,7,Manual,389,2
646,1156471,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,7,Manual,389,2
647,1308592,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,7,Manual,389,2
648,1468440,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,7,Manual,389,2
649,999900,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,8,Manual,389,2
650,1164569,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,8,Manual,389,2
651,1316690,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,8,Manual,389,2
652,1476538,1497,4,45,Diesel,1774,4585,1866,MPV,5,93.25,6,8,Manual,389,2
653,999994,2523,4,60,Diesel,1930,4456,1820,SUV,5,11.5,5,9,Manual,389,0
654,1236258,2179,4,80,Diesel,1874,5118,1850,SUV,5,8.1,5,5,Manual,460,0
655,1123158,2179,4,80,Diesel,1874,5118,1850,SUV,5,9.4,5,5,Manual,460,0
656,1220030,2179,4,60,Diesel,1995,4456,1820,SUV,5,11.5,5,9,Manual,389,2
657,1330006,2179,4,60,Diesel,1995,4456,1820,SUV,5,11.5,5,9,Manual,389,2
658,1360668,2179,4,60,Diesel,1995,4456,1820,SUV,5,11.5,5,9,Manual,389,2
659,1540081,2179,4,60,Diesel,1995,4456,1820,SUV,5,11.5,5,9,Manual,389,2
660,1663054,2179,4,60,Diesel,1995,4456,1820,SUV,5,11.5,5,9,Manual,389,2
661,1423710,2179,4,60,Diesel,1995,4456,1820,SUV,5,11.5,6,9,Manual,389,2
662,1425599,1498,4,55,Diesel,1466,4413,1699,Sedan,4,18,7,5,Automatic,460,2
663,1269599,1598,4,55,Petrol,1466,4413,1699,Sedan,4,12,7,5,Automatic,460,2
664,1299599,1498,4,55,Diesel,1466,4413,1699,Sedan,4,18,5,5,Manual,460,2
665,1139599,1598,4,55,Petrol,1466,4413,1699,Sedan,4,12,5,5,Manual,460,2
666,1610180,2179,4,70,Petrol,1785,4585,1890,SUV,5,93.25,6,7,Automatic,96,2
667,1418313,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,389,2
668,1539488,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
669,1588943,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,2
670,1710118,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,2
671,1716319,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,6
672,1837586,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
673,1741319,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,6
674,1862586,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
675,1610180,2179,4,70,Petrol,1785,4585,1890,SUV,5,93.25,6,7,Automatic,96,2
676,1418313,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,389,2
677,1539488,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
678,1588943,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,2
679,1710118,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,2
680,1716319,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,6
681,1837586,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
682,1741319,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,6
683,1862586,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
684,1852488,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,6
685,1973664,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Automatic,96,6
686,1230924,2179,4,70,Diesel,1785,4585,1890,SUV,5,16,6,7,Manual,96,2
687,1293214,72,4,52,Electric,1540,4247,1740,Sedan,4,110,5,5,Automatic,510,0
688,1267208,72,4,52,Electric,1540,4247,1740,Sedan,4,110,5,5,Automatic,510,0
689,1303241,72,4,52,Electric,1540,4247,1740,Sedan,4,110,5,5,Automatic,510,0
690,1639374,2179,4,60,Diesel,1791,4788,1903,SUV,5,14,6,7,Manual,128,2
691,1929417,2179,4,60,Diesel,1791,4788,1903,SUV,5,14,6,6,Manual,128,6
692,1912593,2179,4,60,Diesel,1791,4788,1903,SUV,5,14,6,6,Automatic,128,6
693,1796458,2179,4,52,Diesel,1791,4788,1903,SUV,5,14,6,6,Manual,128,6
694,1371864,2179,4,60,Diesel,1791,4788,1903,SUV,5,14,5,7,Manual,128,2
695,1531377,2179,4,60,Diesel,1791,4788,1903,SUV,5,14,6,7,Manual,128,2
696,1655587,2179,4,52,Diesel,1791,4788,1903,SUV,5,14,6,7,Automatic,128,2
697,1605000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,7,Manual,389,3
698,1927000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,7,Manual,389,3
699,1610000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,8,Manual,389,3
700,1932000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,8,Manual,389,3
701,2113000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,7,Manual,389,7
702,1620000,2694,4,55,Petrol,1795,4735,1830,MUV,5,11.2,6,8,Automatic,389,7
703,1615000,2694,4,55,Petrol,1795,4735,1830,MUV,5,11.2,6,7,Automatic,389,7
704,2103000,2393,4,55,Petrol,1795,4735,1830,MUV,5,11.2,6,7,Automatic,389,7
705,1807000,2393,4,55,Petrol,1795,4735,1830,MUV,5,11.2,5,7,Manual,389,3
706,1493000,2755,4,55,Petrol,1795,4735,1830,MUV,5,11.2,6,7,Manual,389,7
707,1498000,2755,4,55,Petrol,1795,4735,1830,MUV,5,11.2,6,8,Manual,389,7
708,2097000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,7,Manual,389,3
709,1892000,2393,4,55,Petrol,1795,4735,1830,MUV,5,11.2,5,7,Manual,389,3
710,2171000,2694,4,55,Petrol,1795,4735,1830,MUV,5,11.2,6,7,Automatic,389,7
711,1592000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,7,Manual,389,3
712,1587000,2393,4,55,Diesel,1795,4735,1830,MUV,5,12,5,8,Manual,389,3
713,1996000,1368,6,60,Petrol,1640,4395,1818,SUV,5,93.25,5,5,Automatic,389,2
714,1560000,1368,6,60,Petrol,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,2
715,2055000,1368,6,60,Petrol,1640,4395,1818,SUV,5,93.25,5,5,Automatic,389,2
716,1661000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,2
717,1803000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,2
718,1888000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,6,5,Manual,389,2
719,1973000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,2
720,2022000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,2
721,2151000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,6
722,2199000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,5,5,Manual,389,6
723,2167000,1368,6,60,Petrol,1640,4395,1818,SUV,5,93.25,7,5,Automatic,389,6
724,2133000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,6,5,Manual,389,6
725,2311000,1956,6,60,Diesel,1640,4395,1818,SUV,5,93.25,6,5,Manual,389,6
